0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17		Somme
0,125	0,1	0,09090909	0,05882353	0,1111111	0,07692308	0,1111111	0,1666667	0,1111111	0,1	0,1111111	0,1428571	0,1428571	0,125	0,1428571	0,1111111	0,125	0,1428571		2,0953063
0,1428571	0,07692308	0,1111111	0	0,08333334	0,09090909	0,07142857	0,05882353	0,1	0,1111111	0,1111111	0,1	0,1111111	0,1111111	0,1428571	0,09090909	0,1	0,125		1,7385964
0,05882353	0,09090909	0,08333334	0,1666667	0,1111111	0,1	0,125	0	0,09090909	0,08333334	0,1	0,08333334	0,08333334	0,09090909	0,1111111	0,1428571	0,09090909	0,1		1,71253925
0	0,1111111	0,09090909	0,05882353	0,1111111	0,09090909	0,1	0,1428571	0,1111111	0,1111111	0,1111111	0,125	0,125	0,125	0,1428571	0,1428571	0,1666667	0,1428571		2,00929231
0,125	0,1428571	0,1	0	0,09090909	0,07142857	0,1666667	0,1111111	0,1111111	0,125	0,125	0,1428571	0,125	0,1428571	0,125	0,1	0,05882353	0,1666667		2,03028809
0,09090909	0,125	0,1111111	0,1428571	0,1111111	0,07692308	0,1	0,125	0,1111111	0,1428571	0,1	0,125	0,1666667	0,1428571	0,1428571	0,09090909	0	0,05882353		1,96399319
0,08333334	0,1666667	0,125	0,125	0,1428571	0,1	0,1111111	0,1111111	0,1666667	0,08333334	0,1111111	0,125	0,05882353	0,1666667	0,125	0,08333334	0,1666667	0		2,05168075
0,125	0,2	0,1111111	0,125	0,1	0,1111111	0,2	0,1428571	0,1666667	0,08333334	0,1428571	0,1	0	0,125	0,1	0,125	0,05882353	0,1666667		2,18342667
0,1111111	0,125	0,1111111	0,1	0,1	0,1	0,05882353	0,1428571	0,2	0,1	0,09090909	0,08333334	0,09090909	0,125	0,1666667	0,1	0	0,125		1,93072105
0,09090909	0,125	0,1111111	0,1666667	0,1111111	0,1	0	0,1428571	0,05882353	0,08333334	0,125	0,1	0,2	0,125	0,1428571	0,1	0,2	0,125		2,10766906
0,1111111	0,125	0,1	0,125	0,1666667	0,1111111	0,125	0,1111111	0	0,09090909	0,1111111	0,08333334	0,1428571	0,1666667	0,1428571	0,125	0,05882353	0,125		2,02155796
0,07142857	0,1111111	0,125	0,1	0,2	0,1111111	0,1	0,1	0,1111111	0,09090909	0,1428571	0,1111111	0,1428571	0,05882353	0,08333334	0,1111111	0	0,1666667		1,93743093
0,1	0,125	0,125	0,08333334	0,05882353	0,1111111	0,1	0,07692308	0,1111111	0,125	0,1428571	0,09090909	0,125	0	0,1428571	0,09090909	0,09090909	0,09090909		1,79065271
0,2	0,08333334	0,1111111	0,1	0	0,08333334	0,1666667	0,1666667	0,1428571	0,1111111	0,08333334	0,09090909	0,09090909	0,1	0,05882353	0,09090909	0,1	0,1111111		1,89107462
0,05882353	0,1	0,1666667	0,125	0,09090909	0,1	0,1666667	0,1428571	0,09090909	0,09090909	0,1428571	0,07692308	0,1111111	0,125	0	0,1111111	0,125	0,09090909		1,91565277
0	0,09090909	0,05882353	0,125	0,1111111	0,08333334	0,1111111	0,09090909	0,08333334	0,1111111	0,125	0,1111111	0,1666667	0,1111111	0,1111111	0,1111111	0,1111111	0,1		1,81286389
0,1666667	0,125	0	0,1428571	0,1428571	0,125	0,1	0,09090909	0,125	0,125	0,1	0,125	0,05882353	0,1111111	0,1111111	0,2	0,09090909	0,1		2,04024481
0,1111111	0,1111111	0,1428571	0,1428571	0,1	0,125	0,1	0,09090909	0,125	0,125	0,1	0,1	0	0,1666667	0,1	0,05882353	0,125	0,1111111		1,93544682
0,08333334	0,125	0,125	0,1	0,1111111	0,1111111	0,08333334	0,09090909	0,1111111	0,1111111	0,125	0,125	0,1	0,05882353	0,125	0	0,1111111	0,1428571		1,8398119
0,125	0,1666667	0,07142857	0,08333334	0,1	0,1	0,1	0,1	0,1428571	0,1111111	0,1666667	0,09090909	0,1111111	0	0,1111111	0,1111111	0,09090909	0,05882353		1,84103852
0,09090909	0,05882353	0,08333334	0,09090909	0,09090909	0,1	0,125	0,125	0,1428571	0,1111111	0,1666667	0,1	0,09090909	0,1	0,1428571	0,1111111	0,125	0		1,85539633
0,1111111	0	0,1428571	0,08333334	0,1	0,1428571	0,09090909	0,08333334	0,1428571	0,08333334	0,05882353	0,1666667	0,1111111	0,125	0,1	0,1428571	0,125	0,125		1,93504994
0,1428571	0,1	0,1428571	0,1428571	0,1428571	0,1428571	0,1	0,07142857	0,1666667	0,07692308	0	0,05882353	0,25	0,1111111	0,125	0,1111111	0,2	0,1		2,18534958
0,2	0,09090909	0,125	0,125	0,1428571	0,25	0,125	0,08333334	0,1428571	0,1111111	0,09090909	0	0,05882353	0,1111111	0,1666667	0,1	0,2	0,08333334		2,20691149
0,125	0,1	0,1111111	0,1111111	0,125	0,05882353	0,1111111	0,1111111	0,1428571	0,1	0,08333334	0,125	0	0,1111111	0,1	0,1	0,1	0,1111111		1,82668057
0,09090909	0,1	0,1111111	0,125	0,1666667	0	0,1111111	0,1111111	0,05882353	0,1	0,1	0,2	0,1428571	0,1	0,1	0,08333334	0,1	0,09090909		1,89183215
0,1428571	0,1	0,1666667	0,1666667	0,125	0,1111111	0,09090909	0,07692308	0	0,09090909	0,1	0,05882353	0,1666667	0,1666667	0,125	0,1111111	0,1666667	0,1		2,06597759
0,1111111	0,1666667	0,1111111	0,125	0,09090909	0,1	0,09090909	0,09090909	0,1	0,08333334	0,09090909	0	0,25	0,09090909	0,1428571	0,1	0,05882353	0,08333334		1,88678166
0,125	0,1428571	0,08333334	0,09090909	0,1111111	0,1666667	0,1428571	0,1111111	0,1111111	0,07692308	0,08333334	0,1111111	0,05882353	0,07692308	0,1111111	0,1428571	0	0,1		1,84603896
0,1111111	0,1111111	0,09090909	0,1	0,09090909	0,05882353	0,125	0,1	0,125	0,1111111	0,07692308	0,1	0	0,06666667	0,1428571	0,09090909	0,1	0,1428571		1,74418805
0,08333334	0,06666667	0,125	0,1	0,09090909	0	0,2	0,1111111	0,1428571	0,1666667	0,1	0,125	0,09090909	0,125	0,1111111	0,09090909	0,07142857	0,05882353		1,85972538
0,09090909	0,08333334	0,08333334	0,07142857	0,1428571	0,1666667	0,05882353	0,125	0,1428571	0,1	0,07692308	0,125	0,125	0,1111111	0,1428571	0,07692308	0,09090909	0		1,81393222
0,1	0,1111111	0,1428571	0,07692308	0,125	0,05882353	0	0,1	0,1428571	0,1111111	0,1	0,1111111	0,125	0,08333334	0,1428571	0,1	0,09090909	0,1428571		1,86475074
0,09090909	0,07692308	0,125	0,08333334	0,09090909	0	0,1428571	0,125	0,2	0,125	0,125	0,1	0,1428571	0,1666667	0,09090909	0,125	0,09090909	0,05882353		1,96009721
0,1111111	0,09090909	0,1666667	0,1	0,07692308	0,125	0,1111111	0,1111111	0,05882353	0,08333334	0,125	0,1	0,1428571	0,1111111	0,1666667	0,125	0,1111111	0		1,91673504
0,1111111	0,125	0,1	0,1	0,1111111	0,1111111	0,1	0,125	0	0,1428571	0,1111111	0,1666667	0,125	0,08333334	0,05882353	0,09090909	0,1666667	0,1		1,92870086
0,1	0,1428571	0,1	0,1111111	0,1666667	0,09090909	0,1428571	0,125	0,07692308	0,1666667	0,08333334	0,1	0,1666667	0,1111111	0	0,08333334	0,05882353	0,1		1,92625888
0,125	0,125	0,1428571	0,1666667	0,125	0,1111111	0,1111111	0,1111111	0,1	0,05882353	0,08333334	0,1111111	0,1	0,1	0,1428571	0,1	0	0,09090909		1,90489126
0,1428571	0,1111111	0,25	0,05882353	0,2	0,08333334	0,1	0,125	0,1	0	0,1111111	0,1	0,1111111	0,08333334	0,1111111	0,1111111	0,08333334	0,08333334		1,96556949
0,125	0,1	0,05882353	0	0,125	0,08333334	0,09090909	0,1	0,2	0,1428571	0,125	0,09090909	0,1	0,1111111	0,1111111	0,1428571	0,09090909	0,1111111		1,90893164
0,1111111	0,08333334	0	0,125	0,09090909	0,1	0,125	0,1428571	0,05882353	0,1	0,125	0,08333334	0,09090909	0,125	0,08333334	0,125	0,08333334	0,2		1,85294327
0,09090909	0,09090909	0,09090909	0,1	0,1	0,1	0,08333334	0,1	0	0,125	0,1666667	0,09090909	0,1428571	0,125	0,09090909	0,1111111	0,09090909	0,05882353		1,75824631
0,1111111	0,09090909	0,125	0,1666667	0,125	0,1	0,07692308	0,1	0,125	0,1111111	0,05882353	0,09090909	0,1	0,07692308	0,1111111	0,125	0,1	0		1,79448787
0,1111111	0,1	0,1428571	0,05882353	0,1	0,09090909	0,1	0,1	0,1111111	0,125	0	0,09090909	0,09090909	0,1	0,1666667	0,1111111	0,09090909	0,08333334		1,77365033
0,08333334	0,2	0,125	0	0,2	0,1111111	0,08333334	0,2	0,1111111	0,09090909	0,125	0,07692308	0,125	0,09090909	0,05882353	0,1666667	0,09090909	0,1111111		2,05014056
0,09090909	0,125	0,1428571	0,1111111	0,05882353	0,1428571	0,08333334	0,125	0,1	0,1	0,125	0,125	0,125	0,09090909	0	0,2	0,1111111	0,1111111		1,96802255
0,1	0,125	0,1111111	0,125	0	0,1111111	0,1428571	0,2	0,125	0,09090909	0,1111111	0,08333334	0,1428571	0,1	0,25	0,05882353	0,1	0,1		2,07711346
