0	1	2		Somme
0,3333333	1,428571	0,4		2,1619043
0,5	1,111111	0,5		2,111111
0,5	0,9090909	0,3333333		1,7424242
0,5	0,7692308	0,3333333		1,6025641
0,6666667	0,6666667	0,4		1,7333334
0,6666667	0,5882353	0,5		1,754902
1,428571	0	0,5		1,928571
1,111111	0,6666667	0,4		2,1777777
0,9090909	0,6666667	0,3333333		1,9090909
0,7692308	0,6666667	0,4		1,8358975
0,6666667	0,5	0,3333333		1,5
0,5882353	0,5	0,5		1,5882353
0,5263158	0,6666667	0,4		1,5929825
0	1,428571	0,4		1,828571
0,3333333	1,111111	0,6666667		2,111111
0,3333333	0,9090909	0,6666667		1,9090909
0,25	0,7692308	0,6666667		1,6858975
0,25	0,6666667	0,5		1,4166667
0,2857143	0,5882353	0,5		1,3739496
0,4	0,5263158	0,4		1,3263158
0,4	0,4761905	0,3333333		1,2095238
0,4	0,4347826	0,3333333		1,1681159
0,5	0,4	0,2857143		1,1857143
1,428571	0	0,3333333		1,7619043
1,111111	0,6666667	0,3333333		2,111111
0,9090909	0,6666667	0,2857143		1,8614719
0,7692308	0,5	0,3333333		1,6025641
0,6666667	0,4	0,2857143		1,352381
0,5882353	0,4	0,2857143		1,2739496
0,5263158	0,5	0,3333333		1,3596491
0,4761905	0,4	0,3333333		1,2095238
0,4347826	0,2857143	0,3333333		1,0538302
0,4	0,3333333	0,2857143		1,0190476
0,3703704	0,5	0,2857143		1,1560847
0	1,428571	0,3333333		1,7619043
0,4	1,111111	0,3333333		1,8444443
0,3333333	0,9090909	0,3333333		1,5757575
0,6666667	0,7692308	0,2857143		1,7216118
0,6666667	0,6666667	0,2857143		1,6190477
0,5	0,5882353	0,3333333		1,4215686
0,5	0,5263158	0,3333333		1,3596491
0,3333333	0,4761905	0,3333333		1,1428571
0,3333333	0,4347826	0,5		1,2681159
0,3333333	0	1,428571		1,7619043
0,3333333	0,4	1,111111		1,8444443
0,4	0,5	0,9090909		1,8090909
0,4	0,5	0,7692308		1,6692308
0,6666667	0,5	0,6666667		1,8333334
0,4	0,4	0,5882353		1,3882353
0,4	0,4	0,5263158		1,3263158
0,4	0,4	0,4761905		1,2761905
0,4	0,5	0,4347826		1,3347826
0,4	1,428571	0		1,828571
0,4	1,111111	0,6666667		2,1777777
0,3333333	0,9090909	0,6666667		1,9090909
0,4	0,7692308	0,6666667		1,8358975
0,4	0,6666667	0,6666667		1,7333334
0,3333333	0	1,428571		1,7619043
0,4	0,6666667	1,111111		2,1777777
0,5	0,6666667	0,9090909		2,0757576
0,5	0,5	0,7692308		1,7692308
0,5	0,4	0,6666667		1,5666667
0,3333333	0,4	0,5882353		1,3215686
0,2857143	0,3333333	0,5263158		1,1453634
0,4	0,5	0,4761905		1,3761905
0,4	1,428571	0		1,828571
0,3333333	1,111111	0,5		1,9444443
0,2857143	0,9090909	0,5		1,6948052
0,2857143	0,7692308	0,5		1,5549451
0,3333333	0,6666667	0,4		1,4
0,3333333	0,5882353	0,4		1,3215686
0,4	0,5263158	0,2857143		1,2120301
0,5	0,4761905	0,2857143		1,2619048
1,428571	0	0,3333333		1,7619043
1,111111	0,5	0,4		2,011111
0,9090909	0,5	0,5		1,9090909
0,7692308	0,3333333	0,5		1,6025641
0,6666667	0,4	0,4		1,4666667
0,5882353	0,4	0,4		1,3882353
0,5263158	0,5	0,3333333		1,3596491
0,4761905	0,5	0,3333333		1,3095238
0	1,428571	0,3333333		1,7619043
0,3333333	1,111111	0,3333333		1,7777776
0,3333333	0,9090909	0,4		1,6424242
0,2857143	0,7692308	0,5		1,5549451
0,2857143	0,6666667	0,6666667		1,6190477
0,3333333	0	1,428571		1,7619043
0,3333333	1	1,111111		2,4444443
0,3333333	0,6666667	0,9090909		1,9090909
0,25	1	0,7692308		2,0192308
0,3333333	1,428571	0		1,7619043
0,2222222	1,111111	0		1,3333332
0,25	0,9090909	1		2,1590909
0,4	0	1,428571		1,828571
0,5	0,6666667	1,111111		2,2777777
1	0,5	0,9090909		2,4090909
1,428571	0,6666667	0		2,0952377
1,111111	0,6666667	0,6666667		2,4444444
0,9090909	0,6666667	0,5		2,0757576
0,7692308	0,5	0,4		1,6692308
0,6666667	0,4	0,4		1,4666667
0,5882353	0,4	0,2857143		1,2739496
0,5263158	0,4	0,2857143		1,2120301
0,4761905	0,4	0,3333333		1,2095238
0,4347826	0,4	0,3333333		1,1681159
0,4	0,4	0,3333333		1,1333333
0	1,428571	0,2857143		1,7142853
0,6666667	1,111111	0,3333333		2,111111
0,4	0,9090909	0,4		1,7090909
0,4	0,7692308	0,4		1,5692308
0,5	0,6666667	0,4		1,5666667
0,3333333	0,5882353	0,4		1,3215686
0,2857143	0,5263158	0,3333333		1,1453634
0,3333333	0,4761905	0,2857143		1,0952381
0,4	0,4347826	0,4		1,2347826
0,5	0,4	0,4		1,3
1,428571	0	0,3333333		1,7619043
1,111111	0,5	0,3333333		1,9444443
0,9090909	0,5	0,4		1,8090909
0,7692308	0,3333333	0,4		1,5025641
0,6666667	0,3333333	0,3333333		1,3333333
0,5882353	0,3333333	0,4		1,3215686
0,5263158	0,4	0,3333333		1,2596491
0,4761905	0,4	0,3333333		1,2095238
0,4347826	0,4	0,2857143		1,1204969
0,4	0,5	0,3333333		1,2333333
0	1,428571	0,2857143		1,7142853
